,Unnamed: 0,Depth,Test,size,Max,Features,Samples,Accuracy,Dataset Time,Training Time,Total Time
115,11,59,,0.25,,None,240000,0.8500471587550089,139.1475389339903,97.30101558900787,238.34880438097755
116,11,55,,0.25,,None,250000,0.8533454716795477,139.24991049998792,100.47151807299817,241.6135012389859
117,11,65,,0.25,,None,260000,0.8472824317438019,139.0880712000071,108.90880123100942,249.89809771999717
118,11,65,,0.25,,None,270000,0.8572165694825656,137.2851585620083,113.22379842598455,252.40546594900658
119,11,60,,0.25,,None,280000,0.8423257625998674,137.32558750198223,115.42610445400352,254.65289147300064
120,12,56,,0.25,,None,290000,0.8513783236122566,138.13120549402083,121.1349561259849,261.1832204459934
121,12,71,,0.25,,None,300000,0.8391402466974872,137.60336754700984,126.17351830098778,265.6467422050191
122,12,57,,0.25,,None,310000,0.8444577063165533,137.49475539798732,133.17356880300213,272.5643027079932
123,12,62,,0.25,,None,320000,0.861815648066891,138.33260379100102,139.0485862630012,279.310040434997
124,12,77,,0.25,,None,330000,0.8470064390300096,138.82881911000004,148.1050479010155,288.85537569399463
125,12,69,,0.25,,None,340000,0.8580309479829733,139.09704799597966,154.80799089898937,295.8441035870055
126,12,61,,0.25,,None,350000,0.8524078964315343,137.40728491399204,156.53918951400556,295.89906886700186
127,12,65,,0.25,,None,360000,0.8661483336839907,138.0155269280076,160.54035632801242,300.45855284799467
128,12,64,,0.25,,None,370000,0.8537094620702014,137.9879541269911,167.3257547490066,307.2701035149803
129,12,66,,0.25,,None,380000,0.856004601478521,138.57478091400117,172.92913239498742,313.5011019160156
130,13,69,,0.25,,None,390000,0.8660771355636211,138.12530569601222,176.24269833002472,316.3401742040005
131,13,66,,0.25,,None,400000,0.860674878183216,137.83067944599316,183.7563133669901,323.5190513230045
132,13,67,,0.25,,None,410000,0.866825915795823,138.144766494981,187.48217682199902,327.5589707559848
133,13,69,,0.25,,None,420000,0.8649995640115101,138.45757977900215,194.0135552000138,334.40408519099583
134,13,67,,0.25,,None,430000,0.8537230617111708,137.74651989899576,201.52297180300232,341.23111186700413
135,13,64,,0.25,,None,440000,0.8651995587316494,139.32988701399879,203.71526935801376,345.0329362070188
136,13,69,,0.25,,None,450000,0.8534558687650646,138.99158983901725,211.56303391899561,352.51425355899846
137,13,63,,0.25,,None,460000,0.8449808925044379,139.15296304397634,216.90466227100117,358.0179358259775
138,13,60,,0.25,,None,470000,0.8709810061014389,138.0907630599977,222.6958590639988,362.7325200839841
139,13,65,,0.25,,None,480000,0.8644883775068338,137.42526302998886,229.65392062600586,369.0366615630046
140,14,68,,0.25,,None,490000,0.8547494346149261,137.48154653501115,234.27861583797488,373.6768873770196
141,14,63,,0.25,,None,500000,0.8702138263549842,138.06536547699943,236.94858724699588,376.9640450089937
142,14,60,,0.25,,None,510000,0.870662614506977,138.42509851101204,243.75702534499575,384.12684391700896
143,14,70,,0.25,,None,520000,0.8618252478134577,138.14704817798338,255.44436401099662,395.54521285399096
144,14,72,,0.25,,None,530000,0.8676306945496639,137.62627288600194,264.62042565399315,404.1789560769976
145,14,69,,0.25,,None,540000,0.8676714934725723,139.01455728698056,269.0555453309789,410.0551558299922
146,14,71,,0.25,,None,550000,0.8582989409079599,137.2184123719926,271.39017245499423,410.5629715959949
147,14,69,,0.25,,None,560000,0.8601140929879452,139.2828759379918,284.0871388749802,425.3879253769992
148,14,68,,0.25,,None,570000,0.8479072152495174,139.09422604201245,286.0009950130188,427.0757256319921
149,14,73,,0.25,,None,580000,0.8739033289521156,139.1282140930125,294.21674059599167,435.5124728950032
150,15,72,,0.25,,None,590000,0.8662611307061494,138.25925986698712,302.04242919699755,442.28591851401137
151,15,77,,0.25,,None,600000,0.8685586700511106,138.99679320299765,304.14745105197653,445.1306193460186
152,15,76,,0.25,,None,610000,0.8730665510430524,137.5625747560116,311.18034900698694,450.7145374279935
153,15,73,,0.25,,None,620000,0.867972285531662,138.04752455398557,314.2432064489985,454.277608103992
154,15,71,,0.25,,None,630000,0.8768552510213731,137.45334641900266,318.58376145499636,458.0116794079949
155,15,73,,0.25,,None,640000,0.8683146764925406,138.98180737401708,331.29804732100456,472.2651466430106
156,15,71,,0.25,,None,650000,0.8768112521829424,138.172957999981,332.29880706599215,472.4482974509883
157,15,74,,0.25,,None,660000,0.8705162183718349,137.31600209101452,341.7207539580122,481.00495987001335
158,15,74,,0.25,,None,670000,0.8674850983934024,138.60275466900202,338.46940202297986,479.04376199500985
159,15,82,,0.25,,None,680000,0.8713201971467953,137.36346043701633,347.52675145299867,486.8776936770009
160,16,74,,0.25,,None,690000,0.8752688929012274,137.3125604900124,360.27909710697713,499.6197986960178
161,16,48,,0.25,,None,100000,0.8231534687484251,325.6095044759859,34.55114836501889,362.1418417230016
162,16,60,,0.25,,None,200000,0.8384282654937909,138.98552567901785,76.0934610220138,216.9323710000026
163,16,71,,0.25,,None,300000,0.8416945792631074,139.88369269800023,127.23558085798868,269.0404144410277
164,16,66,,0.25,,None,400000,0.8584509368952661,138.21433668100508,183.72552647901463,323.88578117699944
165,16,67,,0.25,,None,500000,0.8624860303687982,137.76894856098806,238.434322732006,378.1273568290053
166,16,77,,0.25,,None,600000,0.8679170869889035,139.12648285998148,303.01923579699366,444.13243694699486
167,16,67,,0.25,,None,700000,0.86494196553211,138.64008577397908,357.95117100002244,498.5852655899944
168,16,81,,0.25,,None,800000,0.8608836726710415,138.59383870998863,429.0112802759977,569.5893356719753
169,16,91,,0.25,,None,900000,0.8723001712754783,138.09338901302544,493.9126834130148,633.9946861750212
170,17,83,,0.25,,None,1000000,0.8777192282123752,137.80424902497907,559.1804272959998,699.0136626219901
171,17,76,,0.25,,None,1100000,0.8776136310001416,138.3995678020001,630.776658154995,771.2321542919963
172,17,86,,0.25,,None,1200000,0.8836686711470817,138.45271470601438,724.3360462699783,864.8609092040277
173,17,93,,0.25,,None,1300000,0.8817151227207601,138.02346193199628,824.0462443880098,964.1307481309924
174,17,97,,0.25,,None,1400000,0.8837398692674513,137.6805245220021,875.0995307839768,1014.8188768349936
175,17,96,,0.25,,None,1500000,0.8839670632695297,139.33916247900922,960.5067612309939,1101.968128379027
176,17,97,,0.25,,None,1600000,0.8864517976725415,139.24779905300238,1060.6348719150121,1202.0315729080173
177,17,89,,0.25,,None,1700000,0.8908132825293412,138.27796612298698,1111.2791325309954,1251.6433858769888
178,17,84,,0.25,,None,1800000,0.8907284847680021,138.15252763600438,1187.942184271,1328.194453389995
179,17,88,,0.25,,None,1900000,0.893527610871073,138.24515543799498,1275.785185497021,1416.1248169629835
180,18,95,,0.25,,None,2000000,0.8914236664152067,137.76930380699923,1376.552064673015,1516.4289379460095
181,18,96,,0.25,,None,2100000,0.8960747436267682,138.82127189301536,1451.0409541850095,1591.9769781720242
182,18,98,,0.25,,None,2200000,0.8975627043446053,138.24273488699689,1537.4803013990168,1677.8685054419914
183,18,96,,0.25,,None,2300000,0.8944899854643837,137.71963069599587,1592.0007758029972,1731.8490248080054
