,Unnamed: 0,Max,Depth,Test,size,Accuracy,Dataset Time,Training Time,Total Time
91,91,,1,,0.3,0.6452399999999999,4.247409710660577,8.759788881987332,13.18920054845512
92,92,,1,,0.3,0.61944,4.283427011221647,8.752268696203826,13.217835733667016
93,93,,1,,0.3,0.6173,4.313302544876933,8.768783124163747,13.264533514156938
94,94,,1,,0.3,0.60068,4.381200607866049,8.769751749932768,13.334307407960296
95,95,,1,,0.3,0.5854866666666667,4.388134336099029,8.762354388833046,13.331857144832613
96,96,,1,,0.3,0.5847933333333334,4.403502156957983,8.771036885678768,13.356841444969175
97,97,,1,,0.3,0.58186,4.430656412616372,8.763711350038648,13.37598524056375
98,98,,1,,0.3,0.5665666666666667,4.4513199403882036,8.757713844999671,13.390631105750801
99,99,,1,,0.3,0.5654266666666666,4.4555762484669685,8.760324144735932,13.39909922145307
100,10,,2,,0.3,0.6515533333333333,4.225759556517005,17.183959405869242,21.592486696317792
101,10,,2,,0.3,0.67214,4.241430642083287,17.1100443135947,21.53449796885252
102,10,,2,,0.3,0.6438133333333333,4.2775569781661025,17.180392362177372,21.641659090295434
103,10,,2,,0.3,0.6681666666666667,4.307918759062886,17.377933211624622,21.86979647912085
104,10,,2,,0.3,0.6530466666666667,4.334538538008928,17.15133186802268,21.66958625614643
105,10,,2,,0.3,0.6099533333333333,4.362180259078741,17.134961910545822,21.68077472783625
106,10,,2,,0.3,0.6014533333333333,4.3753524497151375,17.13413049466908,21.693538744002577
107,10,,2,,0.3,0.60526,4.439843775704503,17.146472388878465,21.770245919004086
108,10,,2,,0.3,0.60064,4.462796811014414,17.16841652803123,21.814502412453294
109,10,,2,,0.3,0.5978466666666666,4.467467911541462,17.1875229049474,21.838742403313518
110,11,,3,,0.3,0.74768,4.223735159263016,25.41796334274113,29.823965752497315
111,11,,3,,0.3,0.69414,4.263153586536647,26.03507548198104,30.48236238397658
112,11,,3,,0.3,0.6957,4.279198709875345,25.34714211523533,29.81194909848273
113,11,,3,,0.3,0.7045933333333333,4.292066879570484,25.273442324250933,29.751010544598106
114,11,,3,,0.3,0.6733666666666667,4.3225345611572275,25.16020750813186,29.66852120123804
115,11,,3,,0.3,0.6551933333333333,4.406870394945145,25.20491375774145,29.79811011999845
116,11,,3,,0.3,0.6432533333333333,4.3768686670809975,25.16340059414506,29.72521891631186
117,11,,3,,0.3,0.63876,4.418425099924207,25.21089481189847,29.814468970522285
118,11,,3,,0.3,0.63842,4.461343312636019,25.38035218603909,30.027274204418067
119,11,,3,,0.3,0.6230666666666667,4.4576502218842515,25.25060941465199,29.89373319223523
120,12,,4,,0.3,0.80306,4.236884230747819,33.28286199644208,37.705334063619375
121,12,,4,,0.3,0.7288466666666666,4.251028226688503,33.09494259953499,37.53182164393365
122,12,,4,,0.3,0.7159533333333333,4.28142480365932,32.96547372452915,37.43264511227608
123,12,,4,,0.3,0.7385266666666667,4.309773229062556,33.050309443846345,37.54690922982991
124,12,,4,,0.3,0.7047333333333333,4.334559060633183,33.443115592002876,37.962869012728326
125,12,,4,,0.3,0.6794333333333333,4.364256227388978,33.904915085062385,38.45571009069681
126,12,,4,,0.3,0.67692,4.3817840963602075,32.89598874561489,37.46413659304381
127,12,,4,,0.3,0.6518466666666667,4.4582330416888,32.96510223671794,37.60948115959764
128,12,,4,,0.3,0.6538666666666667,4.450034663081169,33.51549058035016,38.14970621839166
129,12,,4,,0.3,0.6477,4.471077769994737,32.966345516964786,37.6242403741926
130,13,,5,,0.3,0.8256066666666667,4.24420253559947,41.73073254153133,46.16158825717866
131,13,,5,,0.3,0.7577666666666667,4.259245472028852,41.28284107334912,45.728780390694745
132,13,,5,,0.3,0.7541466666666666,4.2806385792791835,41.21913046948612,45.686689119786024
133,13,,5,,0.3,0.75972,4.314707927405834,40.48968125507236,44.99330781400204
134,13,,5,,0.3,0.7253733333333333,4.3589342422783375,40.27279997244477,44.819435890764
135,13,,5,,0.3,0.69972,4.3877714443951845,40.34428302012385,44.919584890827544
136,13,,5,,0.3,0.6930066666666667,4.417046206071973,40.25261566415429,44.85678674466907
